Group	Sub-group	Name	Sex	Cell type	Tissue	Cell line	Disease	Donor	Experiment	File type	Format	Analyis production	Size	MD5	URL
Bone marrow	Multiple myeloma	25145	Male	Plasma cell	Bone marrow		Multiple myeloma	25145	Bisulfite-Seq	Methylation signal	bigWig	CNAG	67M	0ad087270396466e96dab441446513a7	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25145/Multiple_myeloma/Bisulfite-Seq/CNAG/G204.CPG_methylation_calls.bs_call.20140106.bw
Bone marrow	Multiple myeloma	25145	Male	Plasma cell	Bone marrow		Multiple myeloma	25145	Bisulfite-Seq	Std. Dev of methylation signal	bigWig	CNAG	76M	fd2e02de3eff59f4dadc52a126dcf50b	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25145/Multiple_myeloma/Bisulfite-Seq/CNAG/G204.CPG_methylation_sd.bs_call.20140106.bw
Bone marrow	Multiple myeloma	25145	Male	Plasma cell	Bone marrow		Multiple myeloma	25145	Bisulfite-Seq	Hyper-methylated regions	bigBed	CNAG	8.4M	51c1ad0f88c22b4e7e6227a6bb45ac97	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25145/Multiple_myeloma/Bisulfite-Seq/CNAG/G204.hyper_meth.bs_call.20140106.bb
Bone marrow	Multiple myeloma	25145	Male	Plasma cell	Bone marrow		Multiple myeloma	25145	Bisulfite-Seq	Hyper-methylated regions	BED	CNAG	23M	cc378693c91def0da81fd113d4698a0b	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25145/Multiple_myeloma/Bisulfite-Seq/CNAG/G204.hyper_meth.bs_call.20140106.bed.gz
Bone marrow	Multiple myeloma	25145	Male	Plasma cell	Bone marrow		Multiple myeloma	25145	Bisulfite-Seq	Hypo-methylated regions	bigBed	CNAG	5.9M	6fde091071fb7d605c5fc7ce621ce977	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25145/Multiple_myeloma/Bisulfite-Seq/CNAG/G204.hypo_meth.bs_call.20140106.bb
Bone marrow	Multiple myeloma	25145	Male	Plasma cell	Bone marrow		Multiple myeloma	25145	Bisulfite-Seq	Hypo-methylated regions	BED	CNAG	17M	d440bbf5f3ba12cca1385206b79dc3d6	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25145/Multiple_myeloma/Bisulfite-Seq/CNAG/G204.hypo_meth.bs_call.20140106.bed.gz
Bone marrow	Multiple myeloma	25386	Male	Plasma cell	Bone marrow		Multiple myeloma	25386	Bisulfite-Seq	Methylation signal	bigWig	CNAG	114M	b0c6c42b119d93727ab8953164ab8bce	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25386/Multiple_myeloma/Bisulfite-Seq/CNAG/G203.CPG_methylation_calls.bs_call.20140106.bw
Bone marrow	Multiple myeloma	25386	Male	Plasma cell	Bone marrow		Multiple myeloma	25386	Bisulfite-Seq	Std. Dev of methylation signal	bigWig	CNAG	128M	a7b12df3a85e9ef38cb6f3268e697920	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25386/Multiple_myeloma/Bisulfite-Seq/CNAG/G203.CPG_methylation_sd.bs_call.20140106.bw
Bone marrow	Multiple myeloma	25386	Male	Plasma cell	Bone marrow		Multiple myeloma	25386	Bisulfite-Seq	Hyper-methylated regions	bigBed	CNAG	14M	9ea7d3744b62804f3fa0ae6e0c7b4d20	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25386/Multiple_myeloma/Bisulfite-Seq/CNAG/G203.hyper_meth.bs_call.20140106.bb
Bone marrow	Multiple myeloma	25386	Male	Plasma cell	Bone marrow		Multiple myeloma	25386	Bisulfite-Seq	Hyper-methylated regions	BED	CNAG	38M	941a421cf768e4f2a7bf19d9773ce9dc	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25386/Multiple_myeloma/Bisulfite-Seq/CNAG/G203.hyper_meth.bs_call.20140106.bed.gz
